Metric,overall,age>60_priv,age>60_priv_correct,age>60_priv_incorrect,age>60_dis,age>60_dis_correct,age>60_dis_incorrect,Model_Name,Model_Params,Virny_Random_State,Runtime_in_Mins
Std,0.04008255542637417,0.04547253797789558,0.037435368606846875,0.14273518122219078,0.025751051432794023,0.02166607832350373,0.14594945829955275,NONE|PREP|DT,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('DT', DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'DT': DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'DT__ccp_alpha': 0.0, 'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 10, 'DT__max_features': None, 'DT__max_leaf_nodes': None, 'DT__min_impurity_decrease': 0.0, 'DT__min_samples_leaf': 1, 'DT__min_samples_split': 2, 'DT__min_weight_fraction_leaf': 0.0, 'DT__monotonic_cst': None, 'DT__random_state': 1608637542, 'DT__splitter': 'best'}",42,1.4200807500000001
Overall_Uncertainty,0.2553454569790312,0.29535156323181155,0.2667999794544944,0.6408715316172061,0.14897263182628967,0.13666973001487362,0.5109797143716351,NONE|PREP|DT,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('DT', DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'DT': DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'DT__ccp_alpha': 0.0, 'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 10, 'DT__max_features': None, 'DT__max_leaf_nodes': None, 'DT__min_impurity_decrease': 0.0, 'DT__min_samples_leaf': 1, 'DT__min_samples_split': 2, 'DT__min_weight_fraction_leaf': 0.0, 'DT__monotonic_cst': None, 'DT__random_state': 1608637542, 'DT__splitter': 'best'}",42,1.4200807500000001
Statistical_Bias,0.0990081590491473,0.116266135769228,0.06129483914498239,0.781507014168521,0.053120670560870754,0.026585828226263,0.8338958898216405,NONE|PREP|DT,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('DT', DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'DT': DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'DT__ccp_alpha': 0.0, 'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 10, 'DT__max_features': None, 'DT__max_leaf_nodes': None, 'DT__min_impurity_decrease': 0.0, 'DT__min_samples_leaf': 1, 'DT__min_samples_split': 2, 'DT__min_weight_fraction_leaf': 0.0, 'DT__monotonic_cst': None, 'DT__random_state': 1608637542, 'DT__splitter': 'best'}",42,1.4200807500000001
IQR,0.036896248846807,0.0423755917782482,0.03383320119338155,0.1457522222250569,0.022327143222897458,0.018133062169769232,0.1457359998710762,NONE|PREP|DT,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('DT', DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'DT': DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'DT__ccp_alpha': 0.0, 'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 10, 'DT__max_features': None, 'DT__max_leaf_nodes': None, 'DT__min_impurity_decrease': 0.0, 'DT__min_samples_leaf': 1, 'DT__min_samples_split': 2, 'DT__min_weight_fraction_leaf': 0.0, 'DT__monotonic_cst': None, 'DT__random_state': 1608637542, 'DT__splitter': 'best'}",42,1.4200807500000001
Mean_Prediction,0.9321419072180456,0.9189799015674934,0.9335507527621879,0.7426492264145874,0.9671385579012967,0.9726125438425368,0.8060691036491497,NONE|PREP|DT,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('DT', DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'DT': DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'DT__ccp_alpha': 0.0, 'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 10, 'DT__max_features': None, 'DT__max_leaf_nodes': None, 'DT__min_impurity_decrease': 0.0, 'DT__min_samples_leaf': 1, 'DT__min_samples_split': 2, 'DT__min_weight_fraction_leaf': 0.0, 'DT__monotonic_cst': None, 'DT__random_state': 1608637542, 'DT__splitter': 'best'}",42,1.4200807500000001
Aleatoric_Uncertainty,0.2238990553200555,0.26024648740241824,0.2393455803152624,0.5131809940239884,0.12725433280648635,0.11929615925215982,0.3614198357870942,NONE|PREP|DT,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('DT', DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'DT': DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'DT__ccp_alpha': 0.0, 'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 10, 'DT__max_features': None, 'DT__max_leaf_nodes': None, 'DT__min_impurity_decrease': 0.0, 'DT__min_samples_leaf': 1, 'DT__min_samples_split': 2, 'DT__min_weight_fraction_leaf': 0.0, 'DT__monotonic_cst': None, 'DT__random_state': 1608637542, 'DT__splitter': 'best'}",42,1.4200807500000001
Epistemic_Uncertainty,0.03144640165897572,0.03510507582939332,0.027454399139232005,0.1276905375932177,0.021718299019803322,0.0173735707627138,0.14955987858454095,NONE|PREP|DT,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('DT', DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'DT': DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'DT__ccp_alpha': 0.0, 'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 10, 'DT__max_features': None, 'DT__max_leaf_nodes': None, 'DT__min_impurity_decrease': 0.0, 'DT__min_samples_leaf': 1, 'DT__min_samples_split': 2, 'DT__min_weight_fraction_leaf': 0.0, 'DT__monotonic_cst': None, 'DT__random_state': 1608637542, 'DT__splitter': 'best'}",42,1.4200807500000001
Label_Stability,0.9623220338983051,0.9550087463556852,0.9704564105801401,0.7680672268907562,0.981767441860465,0.9877524847707599,0.8056603773584905,NONE|PREP|DT,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('DT', DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'DT': DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'DT__ccp_alpha': 0.0, 'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 10, 'DT__max_features': None, 'DT__max_leaf_nodes': None, 'DT__min_impurity_decrease': 0.0, 'DT__min_samples_leaf': 1, 'DT__min_samples_split': 2, 'DT__min_weight_fraction_leaf': 0.0, 'DT__monotonic_cst': None, 'DT__random_state': 1608637542, 'DT__splitter': 'best'}",42,1.4200807500000001
Jitter,0.032466101694915254,0.03864723032069971,0.025894829871851526,0.19297173414820476,0.016031007751937984,0.010932991343379288,0.1660377358490566,NONE|PREP|DT,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('DT', DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'DT': DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'DT__ccp_alpha': 0.0, 'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 10, 'DT__max_features': None, 'DT__max_leaf_nodes': None, 'DT__min_impurity_decrease': 0.0, 'DT__min_samples_leaf': 1, 'DT__min_samples_split': 2, 'DT__min_weight_fraction_leaf': 0.0, 'DT__monotonic_cst': None, 'DT__random_state': 1608637542, 'DT__splitter': 'best'}",42,1.4200807500000001
TPR,0.18702290076335878,0.19823788546255505,1.0,0.0,0.11428571428571428,1.0,0.0,NONE|PREP|DT,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('DT', DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'DT': DecisionTreeClassifier(criterion='entropy', max_depth=10,
                       random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'DT__ccp_alpha': 0.0, 'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 10, 'DT__max_features': None, 'DT__max_leaf_nodes': None, 'DT__min_impurity_decrease': 0.0, 'DT__min_samples_leaf': 1, 'DT__min_samples_split': 2, 'DT__min_weight_fraction_leaf': 0.0, 'DT__monotonic_cst': None, 'DT__random_state': 1608637542, 'DT__splitter': 'best'}",42,1.4200807500000001
