Metric,overall,age>60_priv,age>60_priv_correct,age>60_priv_incorrect,age>60_dis,age>60_dis_correct,age>60_dis_incorrect,Model_Name,Model_Params,Virny_Random_State,Runtime_in_Mins
Std,0.008462130484414057,0.0094718531590854,0.008054633484271418,0.027072878729232103,0.005777363992846079,0.0051157035131091915,0.025732660490418034,NONE|PREP|RF,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('RF', RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'RF': RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'RF__bootstrap': True, 'RF__ccp_alpha': 0.0, 'RF__class_weight': None, 'RF__criterion': 'gini', 'RF__max_depth': 10, 'RF__max_features': 'sqrt', 'RF__max_leaf_nodes': None, 'RF__max_samples': None, 'RF__min_impurity_decrease': 0.0, 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__min_weight_fraction_leaf': 0.0, 'RF__monotonic_cst': None, 'RF__n_estimators': 1000, 'RF__n_jobs': None, 'RF__oob_score': False, 'RF__random_state': 1608637542, 'RF__verbose': 0, 'RF__warm_start': False}",42,7.060624450000001
Overall_Uncertainty,0.27338969133274715,0.3165329815300928,0.2896330264046939,0.6506144273441232,0.15867536158321566,0.14682716051550296,0.516010237263073,NONE|PREP|RF,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('RF', RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'RF': RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'RF__bootstrap': True, 'RF__ccp_alpha': 0.0, 'RF__class_weight': None, 'RF__criterion': 'gini', 'RF__max_depth': 10, 'RF__max_features': 'sqrt', 'RF__max_leaf_nodes': None, 'RF__max_samples': None, 'RF__min_impurity_decrease': 0.0, 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__min_weight_fraction_leaf': 0.0, 'RF__monotonic_cst': None, 'RF__n_estimators': 1000, 'RF__n_jobs': None, 'RF__oob_score': False, 'RF__random_state': 1608637542, 'RF__verbose': 0, 'RF__warm_start': False}",42,7.060624450000001
Statistical_Bias,0.1006259980889606,0.11841149074836509,0.06501561100420725,0.7815565637524914,0.05333588970000138,0.02726125124267468,0.8397318698405354,NONE|PREP|RF,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('RF', RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'RF': RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'RF__bootstrap': True, 'RF__ccp_alpha': 0.0, 'RF__class_weight': None, 'RF__criterion': 'gini', 'RF__max_depth': 10, 'RF__max_features': 'sqrt', 'RF__max_leaf_nodes': None, 'RF__max_samples': None, 'RF__min_impurity_decrease': 0.0, 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__min_weight_fraction_leaf': 0.0, 'RF__monotonic_cst': None, 'RF__n_estimators': 1000, 'RF__n_jobs': None, 'RF__oob_score': False, 'RF__random_state': 1608637542, 'RF__verbose': 0, 'RF__warm_start': False}",42,7.060624450000001
IQR,0.008842261553288577,0.009932883942071867,0.008418489417645399,0.028740763356545185,0.005942389620322156,0.0052511688010079705,0.026789208823116615,NONE|PREP|RF,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('RF', RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'RF': RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'RF__bootstrap': True, 'RF__ccp_alpha': 0.0, 'RF__class_weight': None, 'RF__criterion': 'gini', 'RF__max_depth': 10, 'RF__max_features': 'sqrt', 'RF__max_leaf_nodes': None, 'RF__max_samples': None, 'RF__min_impurity_decrease': 0.0, 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__min_weight_fraction_leaf': 0.0, 'RF__monotonic_cst': None, 'RF__n_estimators': 1000, 'RF__n_jobs': None, 'RF__oob_score': False, 'RF__random_state': 1608637542, 'RF__verbose': 0, 'RF__warm_start': False}",42,7.060624450000001
Mean_Prediction,0.9324908724767288,0.9191290685128365,0.9317393357421044,0.7625170485887836,0.9680187698380853,0.972476169646748,0.8335861756087094,NONE|PREP|RF,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('RF', RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'RF': RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'RF__bootstrap': True, 'RF__ccp_alpha': 0.0, 'RF__class_weight': None, 'RF__criterion': 'gini', 'RF__max_depth': 10, 'RF__max_features': 'sqrt', 'RF__max_leaf_nodes': None, 'RF__max_samples': None, 'RF__min_impurity_decrease': 0.0, 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__min_weight_fraction_leaf': 0.0, 'RF__monotonic_cst': None, 'RF__n_estimators': 1000, 'RF__n_jobs': None, 'RF__oob_score': False, 'RF__random_state': 1608637542, 'RF__verbose': 0, 'RF__warm_start': False}",42,7.060624450000001
Aleatoric_Uncertainty,0.27237329952404793,0.31545873179809325,0.28874985126881547,0.6471671447563837,0.15781280905895065,0.14606544528636747,0.5121064903741042,NONE|PREP|RF,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('RF', RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'RF': RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'RF__bootstrap': True, 'RF__ccp_alpha': 0.0, 'RF__class_weight': None, 'RF__criterion': 'gini', 'RF__max_depth': 10, 'RF__max_features': 'sqrt', 'RF__max_leaf_nodes': None, 'RF__max_samples': None, 'RF__min_impurity_decrease': 0.0, 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__min_weight_fraction_leaf': 0.0, 'RF__monotonic_cst': None, 'RF__n_estimators': 1000, 'RF__n_jobs': None, 'RF__oob_score': False, 'RF__random_state': 1608637542, 'RF__verbose': 0, 'RF__warm_start': False}",42,7.060624450000001
Epistemic_Uncertainty,0.001016391808699224,0.0010742497319995437,0.0008831751358784334,0.0034472825877395197,0.000862552524265009,0.0007617152291354845,0.0039037468889688842,NONE|PREP|RF,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('RF', RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'RF': RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'RF__bootstrap': True, 'RF__ccp_alpha': 0.0, 'RF__class_weight': None, 'RF__criterion': 'gini', 'RF__max_depth': 10, 'RF__max_features': 'sqrt', 'RF__max_leaf_nodes': None, 'RF__max_samples': None, 'RF__min_impurity_decrease': 0.0, 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__min_weight_fraction_leaf': 0.0, 'RF__monotonic_cst': None, 'RF__n_estimators': 1000, 'RF__n_jobs': None, 'RF__oob_score': False, 'RF__random_state': 1608637542, 'RF__verbose': 0, 'RF__warm_start': False}",42,7.060624450000001
Label_Stability,0.9921186440677966,0.9902973760932944,0.9945060483870969,0.9380281690140845,0.9969612403100775,0.9979497036681084,0.9671497584541062,NONE|PREP|RF,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('RF', RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'RF': RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'RF__bootstrap': True, 'RF__ccp_alpha': 0.0, 'RF__class_weight': None, 'RF__criterion': 'gini', 'RF__max_depth': 10, 'RF__max_features': 'sqrt', 'RF__max_leaf_nodes': None, 'RF__max_samples': None, 'RF__min_impurity_decrease': 0.0, 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__min_weight_fraction_leaf': 0.0, 'RF__monotonic_cst': None, 'RF__n_estimators': 1000, 'RF__n_jobs': None, 'RF__oob_score': False, 'RF__random_state': 1608637542, 'RF__verbose': 0, 'RF__warm_start': False}",42,7.060624450000001
Jitter,0.006686440677966102,0.00820991253644315,0.0046622983870967735,0.05226917057902973,0.0026356589147286825,0.0017619734102194459,0.02898550724637681,NONE|PREP|RF,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('RF', RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'RF': RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'RF__bootstrap': True, 'RF__ccp_alpha': 0.0, 'RF__class_weight': None, 'RF__criterion': 'gini', 'RF__max_depth': 10, 'RF__max_features': 'sqrt', 'RF__max_leaf_nodes': None, 'RF__max_samples': None, 'RF__min_impurity_decrease': 0.0, 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__min_weight_fraction_leaf': 0.0, 'RF__monotonic_cst': None, 'RF__n_estimators': 1000, 'RF__n_jobs': None, 'RF__oob_score': False, 'RF__random_state': 1608637542, 'RF__verbose': 0, 'RF__warm_start': False}",42,7.060624450000001
TPR,0.14567430025445294,0.16005873715124816,1.0,0.0,0.05238095238095238,1.0,0.0,NONE|PREP|RF,"{'memory': None, 'steps': [('NONE', FunctionTransformer()), ('PREP', ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])])), ('RF', RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542))], 'verbose': False, 'NONE': FunctionTransformer(), 'PREP': ColumnTransformer(force_int_remainder_cols=False, remainder=StandardScaler(),
                  transformers=[('OHE',
                                 OneHotEncoder(handle_unknown='infrequent_if_exist',
                                               sparse_output=False),
                                 ['age>60'])]), 'RF': RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=1608637542), 'NONE__accept_sparse': False, 'NONE__check_inverse': True, 'NONE__feature_names_out': None, 'NONE__func': None, 'NONE__inv_kw_args': None, 'NONE__inverse_func': None, 'NONE__kw_args': None, 'NONE__validate': False, 'PREP__force_int_remainder_cols': False, 'PREP__n_jobs': None, 'PREP__remainder__copy': True, 'PREP__remainder__with_mean': True, 'PREP__remainder__with_std': True, 'PREP__remainder': StandardScaler(), 'PREP__sparse_threshold': 0.3, 'PREP__transformer_weights': None, 'PREP__transformers': [('OHE', OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), ['age>60'])], 'PREP__verbose': False, 'PREP__verbose_feature_names_out': True, 'PREP__OHE': OneHotEncoder(handle_unknown='infrequent_if_exist', sparse_output=False), 'PREP__OHE__categories': 'auto', 'PREP__OHE__drop': None, 'PREP__OHE__dtype': <class 'numpy.float64'>, 'PREP__OHE__feature_name_combiner': 'concat', 'PREP__OHE__handle_unknown': 'infrequent_if_exist', 'PREP__OHE__max_categories': None, 'PREP__OHE__min_frequency': None, 'PREP__OHE__sparse_output': False, 'RF__bootstrap': True, 'RF__ccp_alpha': 0.0, 'RF__class_weight': None, 'RF__criterion': 'gini', 'RF__max_depth': 10, 'RF__max_features': 'sqrt', 'RF__max_leaf_nodes': None, 'RF__max_samples': None, 'RF__min_impurity_decrease': 0.0, 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__min_weight_fraction_leaf': 0.0, 'RF__monotonic_cst': None, 'RF__n_estimators': 1000, 'RF__n_jobs': None, 'RF__oob_score': False, 'RF__random_state': 1608637542, 'RF__verbose': 0, 'RF__warm_start': False}",42,7.060624450000001
